Date:,15/02/2026
"Start Time:",08:59:01
"Unix Start Time:",1771156741
Duration:,12002
"Num Players:",22
"Num Periods:",6
"Num Parameters:",40
"Logo Path:",https://clprototype.s3.amazonaws.com//titan/upload/file/alt/iBrbPVtqUr0rpueQnx3Sy1BKGkmcDNKtcIoExzgT.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAWE24RTRBE46FX3JB%2F20260216%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260216T234207Z&X-Amz-SignedHeaders=host&X-Amz-Expires=-1770680527&X-Amz-Signature=46f2cac800767e03d244ce38165cc3af421a7632cece2eb0ed6d8d3be1934b3d
,
"Player Name","Period Name","Period Number","Max Acceleration","Max Deceleration","Acceleration Efforts","Deceleration Efforts","Accel + Decel Efforts","Accel + Decel Efforts Per Minute",Duration,Distance,"Player Load","Max Velocity","Max Vel (% Max)","Meterage Per Minute","Player Load Per Minute","Work/Rest Ratio","Max Heart Rate","Avg Heart Rate","Max HR (% Max)","Avg HR (% Max)","HR Exertion","Red Zone","Heart Rate Band 1 Duration","Heart Rate Band 2 Duration","Heart Rate Band 3 Duration","Heart Rate Band 4 Duration","Heart Rate Band 5 Duration","Heart Rate Band 6 Duration",Energy,"High Metabolic Load Distance","Standing Distance","Walking Distance","Jogging Distance","Running Distance","HI Distance","Sprint Distance","Sprint Efforts","Sprint Dist Per Min","High Speed Distance","High Speed Efforts","High Speed Distance Per Minute",Impacts,
"Andryl Miguel",Aquecimento,1,2.45,-2.38,0,0,0,0,00:26:07,1093.97,150.39,14.65,43.66,41.89,5.76,0.02,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,107.09,25.69,87.77,746.34,254.85,5.01,0,0,0,0,0,0,0,4,
"William Monteiro",Aquecimento,1,3.97,-3.06,4,2,6,0.23,00:26:07,1389.33,154.27,24.03,78.83,53.19,5.91,0.05,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,119.59,108.1,82.5,832.32,367.26,80.42,26.84,0,0,0,26.84,2,1.03,2,
"Samuel Oliveira Souza",Aquecimento,1,2.53,-2.62,0,0,0,0,00:26:07,1151.05,138.03,15.36,50.66,44.07,5.29,0.02,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,103.8,26.23,101.86,772.49,253.32,23.38,0,0,0,0,0,0,0,5,
"Kauan Otávio",Aquecimento,1,3.36,-2.91,1,0,1,0.04,00:26:07,1390.71,168.25,20.37,61.68,53.25,6.44,0.06,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,118.37,111.03,89.22,760.04,429.63,107.52,4.3,0,0,0,4.3,0,0.16,4,
"Rafael Pavani",Aquecimento,1,3.92,-3.25,3,2,5,0.19,00:26:07,1214.64,152.04,17.69,49.7,46.51,5.82,0.03,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,106.77,43.5,90.83,786.65,320.6,16.29,0,0,0,0,0,0,0,2,
"Vitor Santos",Aquecimento,1,4.38,-3.55,2,4,6,0.23,00:26:07,1434.06,200.24,24.03,74.63,54.91,7.67,0.06,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,121.15,129.95,100.86,826.58,379.51,112.55,14.56,0,0,0,14.56,1,0.56,21,
"Jeferson Tavares",Aquecimento,1,2.08,-1.83,0,0,0,0,00:26:07,1043.09,133.58,14.31,47.71,39.94,5.11,0.01,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,78.42,10.15,99.41,736.85,206.83,0,0,0,0,0,0,0,0,2,
"Railson Vieira",Aquecimento,1,3.29,-2.14,2,0,2,0.08,00:26:07,1179.99,132.96,16.8,61.03,45.18,5.09,0.02,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,124.87,50.41,60.27,920.25,170.3,29.16,0,0,0,0,0,0,0,18,
"Lee Winston",Aquecimento,1,3.18,-2.19,1,0,1,0.04,00:26:07,1261,132.48,15.73,66.38,48.28,5.07,0.02,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,130.24,50.22,62.52,942.07,240.75,15.65,0,0,0,0,0,0,0,33,
"Gustavo Índio",Aquecimento,1,3.25,-2.81,2,0,2,0.08,00:26:07,1279.47,173.23,23.5,69.43,48.99,6.63,0.04,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,113.82,97.27,101,789.97,272.43,78.75,37.31,0,0,0,37.31,1,1.43,20,
"Matheus Arcanjo","1º Tempo",2,4.39,-5.3,24,31,55,1.1,00:49:51,4153.08,372.91,32.71,97.09,83.29,7.48,0.14,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,469.97,598.53,57.51,2193.67,1244.93,463.06,152.88,40.86,2,0.82,193.74,14,3.89,54,
"Caio Dias","1º Tempo",2,4.13,-4.59,12,15,27,0.54,00:49:51,4870.33,472.91,23.66,65.72,97.68,9.48,0.2,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,442.24,622.67,46.66,2253.14,1781.53,664.09,124.02,0,0,0,124.02,7,2.49,27,
"Miguel Elias","1º Tempo",2,4.25,-5.29,15,20,35,0.7,00:49:51,4946.8,456.21,27.48,89.12,99.21,9.15,0.21,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,429.02,761.43,31.04,2237.17,1593.93,818.39,227.3,38.43,2,0.77,265.73,15,5.33,62,
"Camilo Farias","1º Tempo",2,4.29,-4.67,10,12,22,0.44,00:49:51,4599.67,394.97,26.5,88.14,92.25,7.92,0.15,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,410.69,654.67,33.7,2425.48,1304.35,503.89,284.8,47.24,4,0.95,332.04,20,6.66,44,
"Lucas Franco","1º Tempo",2,4.04,-6.03,12,20,32,0.64,00:49:51,4519.1,423.72,27.63,87.99,90.63,8.5,0.17,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,443.25,766.7,49.75,2164.15,1184.31,747.22,312.82,60.08,3,1.2,372.9,20,7.48,49,
"José Mendes","1º Tempo",2,4.2,-5.09,5,8,13,0.26,00:49:51,4483.55,449.51,30.22,95.66,89.92,9.02,0.18,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,464.37,548.37,57.55,1931.04,1746.81,544.49,159.12,41.67,2,0.84,200.79,12,4.03,25,
"William Monteiro","1º Tempo",2,4.23,-5.2,15,16,31,0.62,00:49:51,5364.86,498.13,27.29,89.53,107.6,9.99,0.27,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,489.88,783.55,32.6,2157.77,2086.89,810.68,258.17,18.38,2,0.37,276.55,18,5.55,40,
"Rafael Pavani","1º Tempo",2,4.6,-4.36,12,13,25,0.5,00:49:51,4467.9,458.35,29.36,82.47,89.61,9.19,0.14,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,423.18,522.62,41.65,2254.02,1490.77,445.8,188.43,46.56,3,0.93,234.99,12,4.71,37,
"Vitor Santos","1º Tempo",2,4.44,-6.45,21,20,41,0.82,00:49:51,4891.57,493.78,29.12,90.41,98.1,9.9,0.17,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,443.07,685.36,42.21,2442.3,1552.25,594.66,211.23,48.21,4,0.97,259.44,18,5.2,53,
"Lee Winston","1º Tempo",2,4.25,-3.72,8,5,13,0.26,00:49:51,2375.95,193.53,20.81,87.81,47.65,3.88,0.02,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,247.44,88.69,84.12,1776.96,452.55,57.02,4.22,0,0,0,4.22,0,0.08,17,
"Gustavo Índio","1º Tempo",2,4.41,-5.43,12,26,38,0.76,00:49:51,4976.27,539.47,31.52,93.15,99.8,10.82,0.16,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,488.62,665.38,30.39,2586.11,1458.15,555.36,228.27,117.89,6,2.36,346.16,22,6.94,144,
"Matheus Arcanjo","2º Tempo",3,4.28,-6.14,12,10,22,0.4,00:55:24,3115.22,284.95,33.69,100,56.23,5.14,0.08,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,335.63,427.98,92.07,1686.48,780.87,261.82,173.14,120.48,3,2.17,293.62,14,5.3,33,
"Caio Dias","2º Tempo",3,3.44,-6.49,7,15,22,0.4,00:55:24,4634.84,428.36,29.59,82.19,83.66,7.73,0.11,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,414.79,566.79,71.67,2503.14,1287.61,513.96,223.13,35.33,3,0.64,258.46,12,4.67,29,
"Miguel Elias","2º Tempo",3,4.19,-5.42,8,19,27,0.49,00:55:24,4805.77,426.01,29.49,95.67,86.74,7.69,0.15,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,408.43,674.06,45.11,2426.43,1294.36,744.22,262.7,32.94,1,0.59,295.64,17,5.34,37,
"Camilo Farias","2º Tempo",3,4.02,-4.1,5,6,11,0.2,00:55:24,4480.37,376.68,29.13,96.88,80.87,6.8,0.12,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,389.57,457.68,51.2,2429.35,1342.02,452.59,158.87,46.33,2,0.84,205.2,10,3.7,26,
"Gabriel Fonseca Rodrigues","2º Tempo",2,4.75,-5,14,9,23,0.42,00:55:24,2500.41,273.5,28.94,90.66,45.13,4.94,0.06,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,223.02,308.28,112.94,1339.02,647.7,256.37,109.88,34.5,2,0.62,144.38,8,2.61,32,
"Mauri Franco","2º Tempo",2,4.55,-4.84,15,24,39,0.7,00:55:24,5310.44,490.11,29.35,90.18,95.85,8.85,0.16,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,416.8,823.13,61.23,2517.42,1566.04,639.09,372.57,154.08,7,2.78,526.65,19,9.51,38,
"Jean Gaucho","2º Tempo",2,4.71,-4.5,21,15,36,0.65,00:55:24,3510.63,400.16,29.16,89.92,63.37,7.22,0.1,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,353.75,605.36,85.79,1585.9,1087.42,404.36,225.99,121.05,4,2.18,347.04,13,6.26,28,
"José Mendes","2º Tempo",3,4.12,-6.05,5,7,12,0.22,00:55:24,2103.2,224.87,31.59,100,37.96,4.06,0.06,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,215.57,301.59,87.68,954.14,630.66,225.85,122.05,82.82,3,1.49,204.87,8,3.7,20,
"Andryl Miguel","2º Tempo",2,3.76,-3.6,8,9,17,0.31,00:55:24,2597.87,301.87,26.33,78.48,46.89,5.45,0.06,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,278.1,329.08,87.27,1316.34,764.45,279.06,142.31,8.45,1,0.15,150.76,8,2.72,41,
"William Monteiro","2º Tempo",3,4.03,-5.2,12,19,31,0.56,00:55:24,5077.1,454.61,26.67,87.51,91.64,8.21,0.18,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,456.34,615.88,53.21,2335.7,1769.89,700.4,194.58,22.23,1,0.4,216.81,11,3.91,26,
"Kauan Otávio","2º Tempo",2,4.4,-6.37,9,10,19,0.34,00:55:24,2831.22,311.76,27.03,81.83,51.1,5.63,0.1,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,258.55,423.81,79.62,1130.23,978.41,455.39,170.18,17.39,1,0.31,187.57,11,3.39,47,
"Rafael Pavani","2º Tempo",3,3.72,-4.04,4,10,14,0.25,00:55:24,3168.49,309.41,32.37,90.93,57.19,5.58,0.08,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,292.03,403.24,72.52,1589.54,903.23,297.52,145.06,159.84,5,2.89,304.9,9,5.5,16,
"Vitor Santos","2º Tempo",3,4.6,-4.82,13,15,28,0.51,00:55:24,4793.12,467.06,31.44,97.64,86.52,8.43,0.14,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,421.44,550.05,68.72,2453.41,1485.98,523.91,169.55,91.55,4,1.65,261.1,12,4.71,45,
"Lee Winston","2º Tempo",3,3.49,-2.49,2,0,2,0.04,00:55:24,2231.03,176.52,18.11,76.41,40.27,3.19,0.01,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,224.84,23.51,103.61,1837.17,271.55,18.71,0,0,0,0,0,0,0,17,
"Gustavo Índio","2º Tempo",3,3.78,-5.14,9,10,19,0.34,00:55:24,3470.97,381.6,33.84,100,62.65,6.89,0.09,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,332.66,475.74,66.44,1853.9,874.85,422.91,184.91,67.96,4,1.23,252.87,13,4.56,98,
"Gabriel Bozzolan",Complemento,2,4.32,-4.26,12,6,18,1.95,00:09:14,723.83,85.46,27.04,80.9,78.39,9.25,0.22,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,71.04,406.68,24.28,96.94,48.24,91.41,312.93,149.41,6,16.18,462.34,12,50.07,2,
"Bruno Carcaioli",Complemento,2,3.37,-3.87,7,3,10,1.08,00:09:14,574.66,49.07,24.47,100,62.24,5.31,0.16,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,51.97,226.13,31.86,116.47,61.75,119.01,245.77,0,0,0,245.77,7,26.62,0,
"Enzo Mendes",Complemento,2,3.94,-4.92,10,6,16,1.73,00:09:14,775.26,91.45,25.08,80.42,83.96,9.9,0.25,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,83.14,418.9,9.75,133.05,63.27,114.91,453.47,0,0,0,453.47,12,49.11,0,
